TR31046|c0_g1
TR29187|c9_g1
TR35551|c1_g1
TR30838|c1_g1
TR29887|c2_g1
TR36400|c0_g2
TR2732|c6_g2
TR19891|c3_g1
TR1595|c0_g2
TR36142|c3_g1
TR18848|c0_g1
TR1596|c1_g1
TR29184|c0_g1
TR7762|c4_g2
TR27361|c0_g1
TR19863|c2_g1
TR15953|c6_g1
TR8254|c0_g2
TR36412|c3_g4
TR19897|c0_g2
TR27016|c0_g1
TR22869|c0_g2
TR9916|c0_g1
TR24332|c0_g2
TR9425|c8_g1
TR24020|c4_g1
TR25572|c0_g1
TR2229|c3_g1
TR9227|c8_g1
TR28529|c2_g1
TR24038|c0_g1
TR16148|c0_g1
TR32232|c2_g1
TR21775|c12_g2
TR34778|c2_g2
TR6144|c3_g1
TR1446|c3_g2
TR17436|c0_g3
TR32553|c8_g2
TR33515|c0_g2
TR23389|c4_g2
TR5341|c0_g1
TR36368|c4_g1
TR37037|c5_g2
TR2812|c7_g1
TR23367|c12_g1
TR30776|c9_g2
TR3922|c3_g1
TR7397|c1_g2
TR17976|c6_g2
TR6812|c0_g1
TR7426|c0_g2
TR21739|c5_g1
TR3922|c4_g4
TR17999|c9_g2
TR9044|c1_g1
TR10146|c0_g1
TR24010|c0_g2
TR16529|c0_g1
TR31888|c2_g1
TR6149|c2_g3
TR6382|c4_g1
TR29114|c2_g4
TR19901|c9_g2
TR34788|c0_g1
TR15220|c0_g5
TR8551|c14_g1
TR31517|c0_g1
TR17477|c0_g1
TR32291|c1_g4
TR28040|c0_g1
TR31512|c0_g1
TR17876|c0_g1
TR17459|c0_g1
TR6595|c6_g1
TR6126|c0_g1
TR32673|c0_g1
TR31915|c6_g5
TR25553|c1_g2
TR24872|c2_g1
TR2349|c1_g1
TR17878|c0_g1
TR32298|c0_g1
TR8482|c12_g1
TR36934|c0_g1
TR23234|c3_g1
TR33006|c0_g1
TR2186|c19_g1
TR36152|c0_g2
TR27414|c0_g1
TR15162|c0_g2
TR26541|c0_g1
TR219|c1_g2
TR31256|c5_g2
TR23418|c0_g2
TR14160|c0_g1
TR11022|c0_g4
TR598|c0_g2
TR36421|c2_g1
TR22900|c0_g2
TR10172|c2_g1
TR19819|c9_g2
TR14161|c0_g1
TR30574|c0_g1
TR58|c0_g1
TR32631|c0_g1
TR7389|c0_g1
TR22861|c0_g1
TR2071|c7_g1
TR29509|c0_g1
TR22082|c3_g1
TR32140|c15_g1
TR12287|c0_g2
TR7242|c1_g1
TR11176|c0_g1
TR5339|c0_g1
TR11477|c0_g2
TR38891|c2_g2
TR16174|c0_g1
TR18223|c0_g1
TR15973|c7_g1
TR10153|c7_g1
TR22829|c10_g1
TR19626|c0_g1
TR29197|c1_g4
TR10123|c2_g3
TR7942|c3_g1
TR15950|c7_g1
TR15383|c0_g1
TR13973|c1_g1
TR9451|c7_g1
TR3260|c1_g1
TR38966|c3_g1
TR29116|c11_g1
TR1491|c1_g1
TR2788|c4_g1
TR33181|c0_g1
TR18815|c0_g1
TR17999|c8_g1
TR26466|c11_g1
TR11272|c0_g2
TR27247|c0_g1
TR28322|c1_g1
TR26542|c0_g1
TR23894|c10_g2
TR1409|c15_g1
TR31899|c3_g2
TR9273|c4_g1
TR32266|c7_g1
TR24865|c6_g1
TR5492|c0_g1
TR29139|c2_g1
TR23381|c0_g1
TR38957|c0_g2
TR19546|c0_g2
TR31510|c0_g1
TR2749|c2_g1
TR9404|c2_g3
TR5084|c5_g1
TR15695|c0_g2
TR38273|c0_g2
TR18197|c5_g1
TR27365|c0_g1
TR25570|c1_g5
TR8525|c8_g1
TR36404|c0_g2
TR34120|c0_g1
TR22031|c0_g2
TR6552|c5_g2
TR22857|c0_g2
TR6169|c5_g1
TR16033|c0_g1
TR9248|c4_g8
TR9976|c0_g1
TR34091|c0_g1
TR3887|c3_g4
TR13990|c1_g1
TR10467|c0_g1
TR38192|c0_g1
TR21284|c0_g1
TR29127|c7_g1
TR9116|c1_g1
TR25602|c0_g7
TR21335|c0_g1
TR9124|c6_g1
TR38891|c2_g3
TR32562|c0_g1
TR10990|c1_g1
TR23939|c3_g1
TR38316|c1_g1
TR39377|c1_g1
TR17957|c7_g1
TR36420|c4_g1
TR14994|c0_g1
TR13167|c0_g3
TR38971|c4_g2
TR19902|c2_g1
TR38416|c0_g1
TR6481|c3_g1
TR27394|c0_g1
TR2565|c0_g1
TR26460|c6_g1
TR27070|c0_g1
TR23857|c3_g1
TR23984|c1_g1
TR3962|c0_g1
TR34054|c6_g2
TR3904|c6_g1
TR5033|c0_g4
TR13683|c3_g1
TR19841|c5_g2
TR23679|c0_g1
TR30847|c6_g1
TR13944|c0_g1
TR32257|c6_g2
TR21314|c1_g1
TR24046|c4_g1
TR17496|c0_g1
TR15990|c12_g1
TR5098|c1_g2
TR29355|c0_g1
TR29611|c0_g1
TR23898|c9_g1
TR36204|c2_g2
TR6775|c3_g2
TR18206|c3_g1
TR1409|c12_g4
TR33287|c0_g1
TR8505|c6_g1
TR11011|c2_g2
TR36230|c0_g3
TR24023|c1_g1
TR36351|c2_g3
TR15291|c13_g1
TR24047|c5_g3
TR38964|c2_g2
TR25525|c3_g1
TR19961|c0_g1
TR23396|c1_g3
TR6627|c0_g5
TR2450|c0_g1
TR19694|c0_g1
TR1403|c13_g3
TR31207|c0_g1
TR25067|c0_g1
TR9060|c7_g2
TR30426|c0_g2
TR6602|c0_g1
TR8518|c4_g1
TR19891|c5_g1
TR9058|c0_g3
TR23960|c3_g3
TR6094|c2_g2
TR30835|c2_g1
TR32315|c13_g1
TR26417|c0_g2
TR21765|c2_g1
TR23889|c3_g1
TR36345|c11_g2
TR8466|c1_g1
TR33729|c0_g1
TR13430|c0_g1
TR8525|c2_g1
TR21304|c7_g1
TR9469|c11_g1
TR23984|c5_g3
TR34769|c17_g1
TR19837|c4_g1
TR18193|c10_g2
TR27050|c0_g2
TR1017|c0_g1
TR32517|c7_g1
