"","x"
"594","TR22269|c0_g3"
"595","TR9998|c0_g1"
"596","TR6387|c8_g1"
"597","TR27085|c0_g2"
"598","TR36437|c0_g3"
"599","TR27404|c2_g1"
"600","TR18959|c0_g1"
"601","TR7804|c0_g1"
"602","TR3922|c4_g4"
"603","TR15998|c0_g1"
"604","TR22274|c0_g1"
"605","TR3884|c0_g2"
"606","TR6130|c2_g2"
"607","TR15250|c4_g2"
"608","TR594|c0_g1"
"609","TR5043|c10_g1"
"610","TR35446|c0_g1"
"611","TR14630|c0_g1"
"612","TR2727|c6_g3"
"613","TR6729|c2_g1"
"614","TR38327|c1_g1"
"615","TR3909|c5_g4"
"616","TR9496|c7_g1"
"617","TR32171|c0_g1"
"618","TR15254|c1_g1"
"619","TR38204|c0_g1"
"620","TR34459|c0_g2"
"621","TR10331|c0_g1"
"622","TR2215|c11_g3"
"623","TR179|c0_g1"
"624","TR29292|c0_g1"
"625","TR22074|c0_g1"
"626","TR26404|c2_g1"
"627","TR36348|c5_g3"
"628","TR15220|c0_g4"
"629","TR21733|c4_g1"
"630","TR3903|c7_g1"
"631","TR27436|c0_g1"
"632","TR15901|c0_g3"
"633","TR4070|c0_g1"
"634","TR21780|c1_g1"
"635","TR13689|c0_g3"
"636","TR30839|c8_g2"
"637","TR39503|c0_g3"
"638","TR31330|c1_g1"
"639","TR34815|c0_g2"
"640","TR38849|c0_g1"
"641","TR2171|c9_g1"
"642","TR27162|c0_g1"
"643","TR2195|c1_g3"
"644","TR6114|c0_g4"
"645","TR13932|c0_g1"
"646","TR14663|c1_g2"
"647","TR9596|c0_g2"
"648","TR38968|c0_g4"
"649","TR2775|c3_g2"
"650","TR20267|c0_g1"
"651","TR30803|c4_g1"
"652","TR9045|c0_g1"
"653","TR35019|c0_g1"
"654","TR36970|c2_g1"
"655","TR7894|c1_g1"
"656","TR26459|c0_g2"
"657","TR23287|c0_g2"
"658","TR32224|c6_g2"
"659","TR36348|c5_g2"
"660","TR18939|c0_g1"
"661","TR14941|c1_g1"
"662","TR26410|c4_g1"
"663","TR27039|c0_g1"
"664","TR13211|c0_g2"
"665","TR6748|c0_g1"
"666","TR2204|c1_g2"
"667","TR32174|c0_g3"
"668","TR30792|c9_g1"
"669","TR653|c0_g1"
"670","TR51|c0_g1"
"671","TR22311|c3_g3"
"672","TR19896|c10_g2"
"673","TR22431|c0_g2"
"674","TR7581|c2_g2"
"675","TR9423|c5_g1"
"676","TR23960|c2_g1"
"677","TR32258|c4_g1"
"678","TR23091|c0_g1"
"679","TR19237|c0_g1"
"680","TR26459|c0_g1"
"681","TR36348|c2_g1"
"682","TR14927|c3_g4"
"683","TR31260|c1_g1"
"684","TR26383|c11_g1"
"685","TR31228|c0_g1"
"686","TR11023|c1_g3"
"687","TR18211|c13_g1"
"688","TR14101|c0_g1"
"689","TR22687|c0_g1"
"690","TR7547|c0_g2"
"691","TR23890|c1_g5"
"692","TR30841|c9_g1"
"693","TR18230|c5_g2"
"694","TR13568|c0_g1"
"695","TR29135|c0_g1"
"696","TR18839|c0_g1"
"697","TR29148|c0_g2"
"698","TR9047|c4_g1"
"699","TR39381|c0_g1"
"700","TR3947|c3_g6"
"701","TR4293|c0_g2"
"702","TR4188|c0_g2"
"703","TR15303|c2_g1"
"704","TR25216|c0_g1"
"705","TR26674|c0_g2"
"706","TR595|c0_g1"
"707","TR9480|c8_g3"
"708","TR9440|c0_g1"
"709","TR14957|c0_g3"
"710","TR25964|c0_g1"
"711","TR15275|c8_g3"
"712","TR30853|c2_g1"
"713","TR20148|c0_g1"
"714","TR20533|c0_g1"
"715","TR6402|c0_g2"
"716","TR25607|c2_g3"
"717","TR32302|c11_g1"
"718","TR2228|c5_g1"
"719","TR24896|c1_g1"
"720","TR21329|c0_g1"
"721","TR10817|c0_g1"
"722","TR24296|c0_g1"
"723","TR2756|c0_g1"
"724","TR25894|c0_g1"
"725","TR6114|c0_g2"
"726","TR22897|c2_g2"
"727","TR36760|c0_g2"
"728","TR2188|c0_g1"
"729","TR15902|c8_g1"
"730","TR38966|c4_g1"
"731","TR29132|c9_g2"
"732","TR21358|c1_g1"
"733","TR23327|c10_g1"
"734","TR23910|c12_g2"
"735","TR8500|c2_g2"
"736","TR34116|c1_g1"
"737","TR20094|c0_g1"
"738","TR6608|c0_g1"
"739","TR9596|c0_g1"
"740","TR22045|c1_g1"
"741","TR29861|c0_g2"
"742","TR7381|c0_g2"
"743","TR30841|c0_g2"
"744","TR32221|c2_g1"
"745","TR13221|c1_g1"
"746","TR9235|c0_g2"
"747","TR1939|c0_g1"
"748","TR34467|c0_g2"
"749","TR38300|c0_g1"
"750","TR7954|c2_g2"
"751","TR34904|c3_g1"
"752","TR15918|c7_g1"
"753","TR32233|c6_g1"
"754","TR32272|c5_g1"
"755","TR12186|c0_g1"
"756","TR36148|c0_g1"
"757","TR14957|c0_g1"
"758","TR22720|c0_g2"
"759","TR30839|c16_g1"
"760","TR2490|c5_g1"
"761","TR10154|c5_g1"
"762","TR23917|c0_g1"
"763","TR14608|c0_g1"
"764","TR32236|c12_g2"
"765","TR8506|c1_g1"
"766","TR9485|c4_g3"
"767","TR31254|c9_g1"
"768","TR32272|c8_g2"
"769","TR2776|c6_g2"
"770","TR38844|c1_g1"
"771","TR22311|c2_g2"
"772","TR21705|c1_g2"
"773","TR13691|c6_g3"
"774","TR17956|c1_g1"
"775","TR28931|c0_g1"
"776","TR9465|c11_g1"
"777","TR36528|c1_g1"
"778","TR30868|c0_g2"
"779","TR17907|c0_g1"
"780","TR10164|c0_g2"
"781","TR5077|c6_g1"
"782","TR27221|c0_g1"
"783","TR30839|c13_g1"
"784","TR14032|c1_g1"
"785","TR7918|c0_g1"
"786","TR14605|c0_g1"
"787","TR7739|c2_g10"
"788","TR32337|c0_g1"
"789","TR8538|c4_g2"
"790","TR8772|c0_g1"
"791","TR23392|c0_g1"
"792","TR10179|c8_g2"
"793","TR21367|c1_g1"
"794","TR25514|c5_g1"
"795","TR19872|c1_g1"
"796","TR16120|c0_g1"
"797","TR1410|c1_g1"
"798","TR29156|c0_g1"
"799","TR23931|c14_g1"
"800","TR22045|c0_g1"
"801","TR14986|c1_g1"
"802","TR29582|c0_g1"
"803","TR12287|c0_g1"
"804","TR32528|c10_g1"
"805","TR36613|c0_g1"
"806","TR19699|c1_g1"
"807","TR36197|c0_g1"
"808","TR31217|c8_g1"
"809","TR9982|c1_g1"
"810","TR9045|c3_g1"
"811","TR6607|c4_g6"
"812","TR7904|c0_g1"
"813","TR19680|c0_g1"
"814","TR16101|c2_g1"
"815","TR31224|c2_g1"
"816","TR9187|c3_g2"
"817","TR8454|c0_g2"
"818","TR34927|c0_g1"
"819","TR32996|c1_g1"
"820","TR1415|c2_g3"
"821","TR6465|c7_g1"
"822","TR15990|c8_g1"
